S000000631,S000003327,Cellular Component: 0.781419129943
S000004929,S000004319,Cellular Component: 0.133167230214
S000005816,S000006238,Cellular Component: 0.850948774476
S000002269,S000005502,Cellular Component: 0.781419129943
S000005145,S000000142,Cellular Component: 0.120514463903
S000001416,S000004360,Cellular Component: 0.0494074443379
S000000762,S000003719,Cellular Component: 0.863760822901
S000003944,S000004354,Cellular Component: 0.0494074443379
S000003617,S000002633,Cellular Component: 0.454250881564
S000003825,S000005092,Cellular Component: 0.177751831825
S000005707,S000000404,Cellular Component: 0.50304963712
S000005632,S000004138,Cellular Component: 0.520043483226
S000004421,S000002736,Cellular Component: 0.186332604419
S000002854,S000002918,Cellular Component: 0.120514463903
S000006229,S000002868,Cellular Component: 1.0
S000002324,S000002856,Cellular Component: 0.344915594103
